Unnamed: 0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,cell,cell_ontology_class
B2.D041914.3_8_M.1.1,-7.54165211559871,1.64511209980961,0.389127022339533,10.9243780224104,0.180799191824273,-1.17756113351445,4.73466274420938,-1.22889894608394,0.675149598365155,-0.605375280922981,0.0657614261938805,-0.544490636193733,1.95176221622704,2.31123193863536,1.62985144610712,2.18911136147586,-1.03793260304713,-1.16662557103064,-1.72954385713314,1.1628598077398,-0.150987932995021,-0.0661958349968436,-1.90442146475345,0.52467574671516,0.865731253921207,-1.45523723686759,0.531706721851755,0.590874533796008,-0.612227815786963,-0.510227736751311,0.462088156970551,B2.D041914.3_8_M.1.1,mesenchymal cell
C4.D041914.3_8_M.1.1,-7.27970547618191,2.12082766229089,1.5379695761342,2.89833892587407,0.114742575368387,1.49064766094485,-7.20521685046121,3.66505094354614,0.0373364236413378,-0.119371916968879,-0.0870125082936227,-2.60113273296558,1.36262546046511,1.02407404673151,1.07037262157712,0.272993358820355,-1.06907540016331,-2.34497636286493,-2.28536788441189,2.18160757728462,0.229026077106089,-0.958710336022524,-0.632563239607217,1.36466696214673,-0.226003389332992,-0.671387675547848,-0.379220179807714,0.343828205333304,-0.167421218337125,-0.509671078998367,0.648713689515153,C4.D041914.3_8_M.1.1,mesenchymal cell
D7.D041914.3_8_M.1.1,-8.05340673003639,2.40868792144076,1.06504867064184,2.7606880688052,0.0687816860038519,1.98262362318119,-10.2629607228851,4.6618457134647,0.109421379986314,-0.117661370567267,0.318729168293002,-2.43478893308585,-0.483253705551589,0.81557150120208,0.858707058392121,0.36386775907154,-0.63792258502448,-3.11127474954671,-1.96541643960376,1.54605239773734,1.06804395194853,0.524401529090047,-0.283962705412095,0.218310499465085,0.121561089276405,0.14390922109177,0.979194510345398,0.296236095112016,-2.03715272492337,-0.289336948297318,-0.0198986585437824,D7.D041914.3_8_M.1.1,mesenchymal cell
E11.D041914.3_8_M.1.1,-6.63011104106335,1.75100108585991,1.0334237665038,1.49741226298092,0.852268018221658,0.570582470863247,-7.21821117420674,4.38315481762999,-0.341840790547204,0.0244793745585834,0.188935173990938,-2.21445982983201,-0.570906758006041,0.747029257346627,1.48956443888831,1.61785804616665,-0.142362043943027,-2.00767066365452,-1.20749838988964,1.36920844524255,0.0615987466677498,-0.796088115633688,0.400702311040874,0.520206330636396,-0.211944814819374,0.231433281991878,0.201458564341046,0.799092416419179,-0.857922812098371,0.0273464189354137,0.808782882409753,E11.D041914.3_8_M.1.1,mesenchymal cell
C6.D041914.3_8_M.1.1,-9.33357053302633,2.06522709771501,2.88185915340851,6.49836054992582,-0.0432307982958168,0.980241774130794,-4.37826326231991,1.88938260531818,-0.720717205032119,0.669233962070722,0.757876927808949,-1.08728871647279,0.261470328409323,1.26228303057227,-0.36995330789256,-0.067688174928586,-1.49120001174378,-0.502231112250738,-1.09032061958473,0.193970178600397,0.0862818842098093,0.261284438747614,-0.650138526408698,0.170733931424829,0.447157966431535,-0.871901533054917,-0.408572980563812,0.148071119488238,-0.29838893528371,-0.291809025754272,0.843105698590671,C6.D041914.3_8_M.1.1,mesenchymal cell
D8.D041914.3_8_M.1.1,-9.18562404533084,3.23721040183819,2.77340493966326,2.95329947500959,0.379448828260294,1.90183296344515,-9.12381117864876,5.04046187419533,0.108250635605458,1.01768737143364,0.215325494639942,-0.721291419628419,-0.896504409986614,0.925373088665956,-1.61650152409758,1.05878291497584,0.0925974477690374,-0.701201250952542,-0.038643333569156,1.22953378889096,0.711150348091407,-0.277163826404607,-0.6506480693976,0.396228194796441,-0.351223102808748,-1.18028484981513,0.0904020421078337,-0.188979272783957,0.147747169645047,0.316805667548418,-0.431549986965655,D8.D041914.3_8_M.1.1,mesenchymal cell
A1.D041914.3_8_M.1.1,-5.96022752196714,1.43723771013048,-0.358188838857099,4.72137437740443,-0.320443722830159,-0.481634574630954,-2.71954100651839,1.16908757286427,0.562147986690295,0.239921702209606,0.652056733319488,-1.84168848482883,2.48028820133804,0.22477536997126,4.31893908901968,-2.80389095461643,0.73790783206364,-2.72747225234189,-0.971555348845655,1.21052781757416,-0.290750450950158,1.73740915123816,0.699833549287932,-0.301635544011269,0.607887409204961,-0.253890283502812,-0.596934989910113,-0.120019168471772,0.0072310942885818,-0.795456901486579,0.676003680931543,A1.D041914.3_8_M.1.1,mesenchymal cell
B5.D041914.3_8_M.1.1,-5.43531408565351,-2.50479656942773,9.64841490584256,10.7021077454022,-2.84258008557235,-2.05615964067299,1.69918522085076,-2.66890126746636,-4.74022806044523,0.17282235741129,-1.37243184297035,-1.93636487871958,2.27757858444886,0.0418786945436293,-0.455261935614791,-1.36005650698698,-0.18338768826601,1.75285424980968,-2.73327942438761,0.0499682338892643,-1.20310418032365,-0.991591082595857,-0.120060565524142,-0.0989538162648523,0.0593393079739975,-0.634692002525943,-0.480613989226248,0.939795729357458,-0.462375997618325,-1.45380417934809,0.821308064732505,B5.D041914.3_8_M.1.1,mesenchymal cell
B6.D041914.3_8_M.1.1,-9.67875861923203,2.25987171960646,3.19456327909285,14.3621517993211,-0.814652240496775,-0.621285519661135,5.4452888524975,-4.53410384185936,-0.816995443502632,-0.154900172072628,0.307013961139719,-0.233875955753025,-0.118382764182435,0.0265530590150156,-0.473112182165989,-1.40496292490381,-0.286290194778992,1.65186023043055,-0.573873645315909,-1.1630539399165,0.58076181052044,0.302069748323184,-0.525249305234616,0.0010210627122731,0.632786176826632,-0.829948497136329,-0.533670406589837,-0.17464609402963,-0.384178153688492,0.284019822629996,1.38929077812642,B6.D041914.3_8_M.1.1,mesenchymal cell
D10.D041914.3_8_M.1.1,-8.85016301708749,2.05165507022731,1.9014190001732,1.11764305510246,0.461706584607505,3.00730792130672,-10.6846200788171,3.10119789666765,-0.261240336972145,-0.247523719805131,-0.305167389460512,-0.131844139007585,-0.878559938738573,0.45949705302024,-2.14065577592198,1.20890329889097,-1.43011873875245,-1.01855855774837,-0.98280719731317,0.0630207729995558,-0.319141629457717,-0.304672847722703,-1.11505363726977,0.969379117756028,-0.0074243787644875,-0.430087531353289,-0.490135431199625,0.228569639814357,0.188224173611265,-0.34569801907886,-0.232540382200552,D10.D041914.3_8_M.1.1,mesenchymal cell
E13.D041914.3_8_M.1.1,-7.49789226134902,1.73689209128947,2.01133007519369,13.2744250731353,-0.071572204304409,-1.25892637378738,6.55623244618367,-4.53770360301153,-0.338097257429577,-0.659058796542636,-0.76573331927305,-0.0908075441076461,2.35572904860567,3.10100909587105,-0.786815284698534,3.03673329455594,-1.19085124441809,-1.5598749794923,-3.51303214277907,1.19764026212074,-1.21539492793544,-0.0070423046175569,-1.01458255130596,-0.0865709642337855,-0.654108108378973,-0.132212887455138,0.547294460057063,0.98565388390438,-1.68145197274902,-0.440992622664964,1.84145494113013,E13.D041914.3_8_M.1.1,mesenchymal cell
E14.D041914.3_8_M.1.1,-7.93007714684318,1.92920255119189,1.18383247180956,1.74889040190395,-0.424416200002625,1.6613557107988,-8.79583567341686,2.43765140135583,0.44946207883446,-0.0490246724234115,0.331539388679953,-1.47634356591973,0.87683430991694,0.756147362211384,1.58396512568012,-0.783564351121376,-1.01432984825454,-1.63110381344149,-1.79902529548109,-0.111486914263077,0.566257938244465,0.164963398876381,-0.599680572049547,0.892629325178506,-0.672782726691916,-1.16893018036245,0.299784665347263,-0.258683028222403,-0.3556294732993,-0.113825291907208,-0.412726367174898,E14.D041914.3_8_M.1.1,mesenchymal cell
